text,intent
"Hey, is the blue jacket back in stock yet? SKU J004.",product_availability
Where the heck is my package?? Order # 998734 I paid extra for fast shipping this is UNACCEPTABLE.,order_status
What is ur refund policy for electronics if i opn the box? Is it 30 days?,refund_policy
"Can you tell me what the biggest selling type of sneaker was last quarter, preferably running shoes data?",trend_analysis
Yo. I saw the price drop like 5 bux on that TV last week. Can i get a price match or somethin?,pricing
hi good morning can i ask how to send back a shirt that is to small for me and i need bigger size.,return_policy
"Do you guys sell like, custom dog houses? My chihuahua needs a tiny castle with a moat.",product_sourcing
Just wanted to say hi and hope you have a great day.,greeting
My neighbor just got a new job. Is that relevant to my order?,off_topic
Where can I find the red backpack shown in the ad on my feed earlier? I can't find it when I search 'red bag'.,product_search
Wheres my stuff! Its been 5 days and ur tracking sux I want it now or ill cancel the whole thing!,order_status
i saw a purple spatula that can also sing when is that coming back to stock. Need it for my dog's birthday party.,product_availability
"Good afternoon, I was hoping you could clarify the process for initiating a return. I purchased a jacket last week but it is too small. Thank you very much for your help.",return_policy
yo what's the deal with the free shipping thing how much I gotta spend lol,policy_info
Why is my credit card charged extra tax fee not show on original price list? Very confusing this.,pricing
Hello,greeting
"My neighbor said the moon is made of cheese, can you tell me where to buy some galaxy-themed curtains instead of answering my question.",off_topic
blue dress with flowers long sleeve medium,product_search
I see everyone is selling those air fryers with the dual baskets. Is your company going to start stocking them soon or is that not a good investment for this quarter?,product_sourcing
Is it true I can only get store credit if I bought the item on sale? What's the standard refund window? I need to know the official rule.,refund_policy
where's my dang package it was supposed to be here yestrday this is bull,order_status
"Yo what's the deal with that new air fryer everyone's talking about? Like, is it worth the hype or should I wait for the next version tbh",trend_analysis
U got any more of those blue t-shirts in size XL? website said OOS but maybe u can check for me plz,product_availability
what is ur policy on givin back money if the thing is broke when i open it?,refund_policy
hi could you tell me the price of the 'Cosmic Explorer' telescope and do you have a better model perhaps?,pricing
im lookin for a gift for my cousin she likes goats and sparkly things. what should i search for to find somethin like that?,product_search
hey! just wondering how many days i have to send back the shoes if they don't fit. thanks a bunch!,return_policy
I need to know the capital of Madagascar. Pls respond fast!,off_topic
can u maybe get sum of the 'Moon Dust' foundation from that super small indie brand? I can't find it anywhere else but I need it now!,product_sourcing
What is the minimum purchase required to qualify for free shipping? I couldn't locate that info on the FAQ page.,policy_info
Is that toaster really worth fifty bucks? seem kinda pricy tbh,pricing
wher is my package been waiting for like a week already order number 87391,order_status
"yo, how do I return this stupid shirt it's too big and I hate it!!",return_policy
do you guys have any more of the blue noise-cancelling headphones in stock?,product_availability
"what is the diff between your 'premium' and 'standard' shipping options, plz and thank u",policy_info
can u look up if ppl are buying more wicker baskets or macrame wall hangings this season,trend_analysis
can i get a full refund for a used item if it's broken? its broken!!,refund_policy
"what is the best way to find a pair of comfortable, wide-fit men's leather boots size 11?",product_search
"gimme the contact for the place that makes the unicorn horn headbands, i want to buy a thousand",product_sourcing
hi I am having trouble logging into my account for the third time this week what is happening with your website?!,faq
whr is my package tho its suppozed to be here yestrday??? this is BS,order_status
"Hi, do you sell red sneakers size 10? Also, can you recommend a good running shoe?",product_search
what's the deal with the price on the 'Galactic Glow' eyeshadow palette? is that final or is there a coupon coming?,pricing
U guys got any more of the vintage leather jackets in stock? I need a medium.,product_availability
"Can you pls tell me about your full return policy for electronics? Like, if i open it, can i still send it back? thanks.",return_policy
"Hello, I want to know about your warranty details for the 'UltraMax' blender. Is it one year or two?",policy_info
what is the best way to clean my new coffee maker? it says something about descaling but im too lazy to read the manuel,faq
I need to find a supplier for artisanal wooden spoons in bulk. Do you offer that kind of service or just retail?,product_sourcing
My dog ate my homework and now I'm stuck in a parallel dimension where all is cheese. pls help,off_topic
"Wuddup. Just wondering, what are the hot sellers in sustainable fashion this season? Like, what colors r trending?",trend_analysis
Hey I wanted to know if y'all have the Nike Air Max 90 in size 10 in black,product_availability
whut is the price of the big red toaster??? says $49.99 but i see $59.99 when i click. fix it!!!,pricing
